"filename", "language", "Markdown", "JavaScript", "XML", "JSON", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\package-lock.json", "JSON", 0, 0, 0, 41457, 0, 0, 0, 1, 41458
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\package.json", "JSON", 0, 0, 0, 57, 0, 0, 0, 1, 58
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\public\index.html", "HTML", 0, 0, 0, 0, 0, 22, 23, 1, 46
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\src\App.css", "CSS", 0, 0, 0, 0, 35, 0, 3, 7, 45
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\src\App.js", "JavaScript", 0, 109, 0, 0, 0, 0, 13, 14, 136
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\src\Components\AdminPanel\AdminPanel.js", "JavaScript", 0, 32, 0, 0, 0, 0, 3, 9, 44
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\src\Components\Calendar\Booking\Booking.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\src\Components\Calendar\Booking\Booking.js", "JavaScript", 0, 414, 0, 0, 0, 0, 41, 80, 535
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\src\Components\Calendar\Booking\BookingsDisplay.css", "CSS", 0, 0, 0, 0, 9, 0, 1, 1, 11
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\src\Components\Calendar\Booking\BookingsDisplay.js", "JavaScript", 0, 134, 0, 0, 0, 0, 54, 29, 217
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\src\Components\Calendar\Calendar.css", "CSS", 0, 0, 0, 0, 91, 0, 10, 16, 117
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\src\Components\Calendar\Calendar.js", "JavaScript", 0, 185, 0, 0, 0, 0, 33, 65, 283
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\src\Components\Dashboard\Dashboard.css", "CSS", 0, 0, 0, 0, 50, 0, 17, 10, 77
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\src\Components\Dashboard\Dashboard.js", "JavaScript", 0, 109, 0, 0, 0, 0, 15, 31, 155
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\src\Components\Firebase\Firebase.js", "JavaScript", 0, 59, 0, 0, 0, 0, 8, 10, 77
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\src\Components\Footer\Footer.css", "CSS", 0, 0, 0, 0, 2, 0, 16, 0, 18
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\src\Components\Footer\Footer.js", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 6, 39
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\src\Components\HomeFeed\HomeFeed.css", "CSS", 0, 0, 0, 0, 80, 0, 26, 26, 132
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\src\Components\HomeFeed\HomeFeed.js", "JavaScript", 0, 101, 0, 0, 0, 0, 1, 18, 120
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\src\Components\Login\Login.css", "CSS", 0, 0, 0, 0, 37, 0, 14, 12, 63
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\src\Components\Login\Login.js", "JavaScript", 0, 75, 0, 0, 0, 0, 13, 9, 97
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\src\Components\Navbar\Navbar.css", "CSS", 0, 0, 0, 0, 38, 0, 16, 11, 65
"c:\Users\calle\Desktop\-\reactApp\gymn_arbete\src\Components\Navbar\Navbar.js", "JavaScript", 0, 77, 0, 0, 0, 0, 0, 12, 89
